id_reclamacao;classe;politicas_aplicaveis;parametro_aplicado;resolucao
R00026;entrega;POL ENT 02;;verificação com a transportadora e, confirmado o atraso, reembolso do frete
R00029;entrega;POL ENT 02;;verificação com a transportadora e, confirmado o atraso, reembolso do frete
R00011;entrega;POL ENT 02;;verificação com a transportadora e, confirmado o atraso, reembolso do frete
R00059;divergente_defeito;POL DEV 03 | POL GAR 01;garantia da categoria brinquedo de 90 dias, chamado aberto 48 dias após a compra;troca ou reembolso, dentro da garantia
R00048;divergente_defeito;POL DEV 03 | POL GAR 01;garantia da categoria outros de 90 dias, chamado aberto 40 dias após a compra;troca ou reembolso, dentro da garantia
R00040;divergente_defeito;POL DEV 03 | POL GAR 01;garantia da categoria outros de 90 dias, chamado aberto 31 dias após a compra;troca ou reembolso, dentro da garantia
R00085;fraude_vendedor;POL DIS 04;;abertura de disputa com pagamento retido e decisão em 10 dias úteis
R00080;fraude_vendedor;POL DIS 04;;abertura de disputa com pagamento retido e decisão em 10 dias úteis
R00067;fraude_vendedor;POL DIS 04;;abertura de disputa com pagamento retido e decisão em 10 dias úteis
R00094;falsificado;POL AUT 02;;análise de autenticidade em 5 dias úteis e reembolso integral se confirmada
R00110;falsificado;POL AUT 02;;análise de autenticidade em 5 dias úteis e reembolso integral se confirmada
R00111;falsificado;POL AUT 02;;análise de autenticidade em 5 dias úteis e reembolso integral se confirmada
R00124;artigo_proibido;POL PRO 05;;encaminhamento à conformidade e remoção do anúncio irregular
R00145;artigo_proibido;POL PRO 05;;encaminhamento à conformidade e remoção do anúncio irregular
R00143;artigo_proibido;POL PRO 05;;encaminhamento à conformidade e remoção do anúncio irregular
R00162;devolucao_ressarcimento;POL DEV 03 | POL DEV 03 versão 2 (vigente na data);até R$ 100,00, reembolso integral em 7 dias úteis;reembolso pela faixa de valor
R00177;devolucao_ressarcimento;POL DEV 03 | POL DEV 03 versão 2 (vigente na data) | POL CLU 01;R$ 100,01 a R$ 500,00, análise e reembolso em 15 dias úteis | assinante, teto de R$ 8.000,00 e prazos pela metade;reembolso pela faixa de valor
R00174;devolucao_ressarcimento;POL DEV 03;R$ 100,01 a R$ 500,00, análise e reembolso em 10 dias úteis;reembolso pela faixa de valor
R00184;outros;POL ATD 01;;orientação pelo manual de atendimento
R00199;outros;POL ATD 01;;orientação pelo manual de atendimento
