id_reclamacao;data_abertura;categoria;descricao_reclamacao
3409650;2019-10-18T12:00:00-05:00;Cartão de crédito / Cartão pré-pago;Chase afirma que eles me enviaram uma carta em xx/xx/xxxx dizendo que eles fechariam minha conta, mas nunca recebi essa carta. Ele afirma que, nessa carta, afirmou que eu precisava ligar para manter minha conta aberta devido a um período de inatividade. Além disso, estou inscrito para avisos sem papel, por isso recebo todas as minhas informações, incluindo declarações, por e -mail. Recebi um email promocional em xx/xx/xxxx em relação a esse cartão dizendo que me qualifico para um APR temporário e promocional de xx/xx/xxxx até xx/xx/xxxx. Eu me inscrevi no mesmo dia e recebi uma confirmação dessa inscrição e comecei a usar meu cartão novamente. Eu usei meu cartão até que expirou no final do XX/XX/XXXX, quando previ o recebimento de um novo cartão. Quando não vi nada pelo correio, olhei para minha conta no XX/XX/XXXX e vi que minha conta havia sido fechada. Esta conta está aberta 6 anos e 4 meses e está me ajudando a criar crédito. Minha pontuação de crédito vai descer e estou começando a me levantar e ganhar dinheiro depois de ficar na escola por muito tempo. Se eu tivesse recebido a carta ou as informações em um email, teria agido rápido, como fiz pela taxa promocional. É injusto que Chase tenha me enviado uma carta em papel sabendo que me inscrevi para notificações por e -mail e, mesmo que exigido por lei para enviar uma carta de correio, o Chase também deveria ter me notificado por e -mail como eu havia previsto. Eu pensei que estava tudo bem com minha conta quando ativei o APR promocional, tive uma falsa sensação de segurança de que tudo ficaria bem até XX/XX/XXXX. Essa tática enganosa e injusta é falsa e enganosa, e estou extremamente decepcionado. Tentei ligar para o atendimento ao cliente em duas ocasiões separadas e todos dizem que não há nada que possa ser feito. Por favor ajude.
2824212;2018-02-23T12:00:00-05:00;Cartão de crédito / Cartão pré-pago;Em xx/xx/xxxx, tentei usar meu chase xxxx, ele foi recusado. Investi e descobri que o limite de crédito foi reduzido por xxxx. Quando liguei para Chase, eles declararam que enviaram uma carta. Eu nunca recebi a carta. Eu pedi uma escalada e fui transferido.
3322111;2019-07-29T12:00:00-05:00;Cartão de crédito / Cartão pré-pago;JPMCB - Inquérito de serviço do cartão do cartão de crédito nacional XX/XX/2018 Cos. Eles fizeram uma grande investigação sobre o meu crédito. Quando verifiquei minha pontuação de crédito e relatei, fiquei chocado. Essa situação realmente afeta minha saúde XXXX, porque, como você pode ver, não tenho nenhum pagamento em todas as minhas dívidas, tenho ser extremamente responsável com todas as instituições financeiras com as quais tenho uma relação, e essa grande investigação reduz minha pontuação.   Quero de você remover essa pergunta porque não solicitei nenhum crédito desta instituição.
3435102;2019-11-11T12:00:00-05:00;Cartão de crédito / Cartão pré-pago;O Chase Bank me relatou as agências de crédito por um pagamento perdido {$ 5,00}. Sou cliente de perseguição há 11 anos e nunca uso este cartão. Quando recebo notificação através do meu serviço de monitoramento de crédito XXXX que Chase me relatou para esse pagamento perdido, paguei imediatamente e tentei falar com um representante da Chase para que isso tenha retirado meu relatório de crédito. Eu não tinha ideia de que tinha um pagamento perdido porque este cartão é tão raramente usado e nunca teve um pagamento perdido com o Chase antes disso. Eles se recusaram a remover isso do meu relatório de crédito, apesar de reduzir minha pontuação de crédito em 78 pontos.
3556741;2020-03-06T12:00:00-05:00;Cartão de crédito / Cartão pré-pago;Começando o XX/XX/2016, fui vítima de empresas de opções binárias fraudulentas chamadas xxxx xxxx xxxx xxxx xxxx, xxxx xxxx xxxx (as empresas). O dinheiro foi transferido da minha conta para a empresa por cartão de crédito por um valor total de xxxx, utilizando serviços bancários do Chase.
3637331;2020-05-05T12:00:00-05:00;Cartão de crédito / Cartão pré-pago;Esta reclamação está no Ref à reclamação inicial XXXX.   Fui mal até que notei uma taxa de associação {$ 95,00}. Isso não foi mencionado durante o aplicativo telefônico para um cartão de crédito comercial do Chase Bank. Quando reclamo com a empresa, disseram-me para fechar a conta e recorrer novamente a um cartão e o Chase diferente puxará meu relatório de crédito novamente. Por quê? Eles não estavam dispostos a se transferir para um cartão de crédito que não seja de taxa.   Eu sou um pequeno veterano xxxx xxxx tentando sobreviver durante esta crise. Não tenho tempo para esse tipo de não sentido de um CO que passei mais de 22 anos de serviço militar.
2682665;2017-09-23T12:00:00-05:00;Cartão de crédito / Cartão pré-pago;Meu nome está nesses empréstimos apenas porque eu era um sinal de CO. Eles não eram meus empréstimos. Eu nunca fiz os pagamentos-não um. Quero que eles sejam removidos do meu relatório de crédito, porque minha pontuação de crédito é falsamente relatada. Eles dizem que é relatado corretamente, mas está incorreto. Eles dizem que minha disputa não é específica-o que isso significa? Eu quero que eles sejam removidos. Chase Auto Finance xxxx # xxxx xxxx xxxx txxxxxx-xxxx, xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx, nc xxxx
3378267;2019-09-18T12:00:00-05:00;Cartão de crédito / Cartão pré-pago;Meu perfil XXXX mostra duas perguntas recentes que eu não iniciei. Liguei para as duas instituições e elas estão cancelando os pedidos de cartão de crédito pendentes que eu não iniciei. Gostaria que essas consultas difíceis fossem removidas do meu arquivo de crédito: XXX XXXX Consulta do Banco XX/XX/XXXX Esta consulta poderia permanecer no seu relatório atéxx/xx/xxxx. Informações da instituição xxxx xxxx xxxx, fl xxxx (xxxx) xxxx jpmcb consultoria de cartão de xx/xx/xxxx Banco Esta consulta pode permanecer no seu relatório atéxxxxt xxxx. Informações da instituição JPMCB Card xxxx, de xxxx xxxx xxxx xxxx xxxx
3676350;2020-05-31T12:00:00-05:00;Cartão de crédito / Cartão pré-pago;Em ou sobre xx/xx/xxxx, perguntei para alugar uma unidade de apartamento em xxxx xxxx xxxx, xxxx xxxx, xxxx altura, de propriedade de xxxx xxxx xxxx, xxxx. Entre xx/xx/xxxx e xx/xx/xxxx, conversei com o apartamento xxxx que o primeiro nome é xxxx. No xxxx, fui contatado pelo XXXX e perguntei sobre o pagamento. XXXX me pediu informações sobre o meu cartão de débito, e eu a informei de que completaria o aplicativo e pagaria online. Antes de enviar a inscrição, informei xxxx que minha pontuação de crédito não era boa, mas não tinha despejos nem saldos pendentes para nenhum apartamento. Eu tinha certeza de XXXX de que uma pontuação de crédito ruim não me desqualificaria automaticamente e que ela pode tomar a decisão de alugar para mim. Em xx/xx/xxxx, enviei o pedido e paguei {$ 140.00} Taxa que consiste em {$ 100,00} depósito, {$ 40,00} Taxa de inscrição e uma taxa de processo {$ 3,00} também fui obrigada a comprar seguro de aluguel no valor de {$ 9,00 } de um comerciante chamado xxxx. Em xx/xx/xxxx, recebi uma letra adversa (Anexo 1). A letra adversa declarada, embora xxxx xxxx xxxx, xxxx seja o único responsável por suas decisões de aluguel, de que a decisão foi baseada no todo ou em parte em informações contidas no meu relatório de triagem de inquilinos. No xx/xx/xxxx, entrei em contato com o Chase Bank e contestei as cobranças de {$ 43,00} e o {$ 9,00}. Informei o Chase afirma que xxxx da altura xxxx, xxxx xxxx xxxx, xxxx me deram informações falsas para me induzir a aplicar sabendo que eles ganhariam pelo menos {$ 40,00} em ou aproximadamente xx/xx/xxxx i recebi uma verificação de xxxxxxxxxxxxxxxxx, ou aproximadamente xx/xx/xxxx, recebi uma verificação de xxxx xxxx, xxxx, ou aproximadamente xx/xx/xxxx. Xxxx no valor de {$ 100,00}. Em ou sobre xx/xx/xxxx, perdi o cheque. No xx/xx/xxxx, entrei em contato com o apartamento xxxx xxxx e informei a pessoa que respondeu que o cheque havia sido perdido e solicitou um substituto. O funcionário recusou. Liguei para o meu banco e me disseram que recebi um crédito pelo {$ 100,00}. Eu olhei para a minha declaração e vi que fui creditado por todo o {$ 140.00}, embora não me lembre de disputar o depósito {$ 100,00}, pois previ que seria reembolsado. Em xx/xx/xxxx a aproximadamente xxxx pm, recebi um alerta de cheque especial e descobri que Chase havia revertido o crédito. Em xx/xx/xxxx, entrei em contato com Chase e reclamei da reversão. Um nome representativo XXXX e o nome do supervisor XXXX alegaram que o Chase não lida com fraude por comerciantes que fornecem informações falsas. A Chase afirmou ainda que o cheque perdido do depósito {$ 100,00} não era considerável desde que eu o perdi e que o comerciante não é obrigado a reemitir um cheque. Em xx/xx/xxxx, parei os pagamentos automáticos no meu cartão de crédito Chase e, depois que essa provação não deseja mais compartilhar com o Chase. Em xx/xx/xxxx, tentei entrar em contato com xxxx xxxx xxxx xxxx, xxxx no número na minha instrução e o número estava fora de serviço. Pesquiso o site xxxx do XXXX e descobri que o local listado em xxxx xxxx xxxx # xxxx, xxxx xxxx, xxxx xxxx não está ocupado pela empresa.
1463619;2015-07-11T12:00:00-05:00;Cartão de crédito / Cartão pré-pago;"Recentemente, tive uma taxa de cartão de crédito recusado (empresa de cartão de crédito Chase) e entrei em contato com o atendimento ao cliente para a empresa de cartão de crédito para uma explicação. Como parte de seu questionamento de segurança para garantir que eu fosse o titular do cartão, eles me fizeram perguntas de segurança específicas que envolviam a verificação de informações que eu nunca havia divulgado a eles no passado. Por exemplo, na pergunta xxxx (que tinha respostas de múltipla escolha), recebi opções para a ""altura"" que está listada no número da minha licença do meu motorista. Para outra pergunta, recebi escolhas para a ""profissão"" em que eu tenho uma licença profissional. Embora eu entenda que essas informações estão disponíveis em domínio público, acho antiético e perturbador que a empresa de cartão de crédito esteja ""minerando"" essas informações do domínio público e conectando essas informações à minha conta. Fico feliz em responder a perguntas de segurança para o qual forneci as ""respostas de segurança"" anteriormente, mas é absolutamente errado que essa empresa de cartão de crédito (ou talvez todos façam isso!) Pode usar as informações que nunca lhes dê para fins de verificação de segurança. Dada a frequência de violações de dados no mundo moderno, ter essas informações pessoais adicionais conectadas a uma conta de cartão de crédito fornecem aos hackers ainda mais informações para poder roubar identidades e cometer fraude."
